Date Disclosed,Project Name,Document Type,Project Number,Project Url,Product Line,Company Name,Country,IFC Country Code,Sector,Environmental Category,Department,Status,Projected Board Date,IFC Approval Date,IFC Signed Date,IFC Invested Date,IFC investment for Risk Management(Million - USD),IFC investment for Guarantee(Million - USD),IFC investment for Loan(Million - USD),IFC investment for Equity(Million - USD),Total IFC investment as approved by Board(Million - USD),WB Country Code,As of Date
11/14/1996,Asia Private Power Limited (APPL)-Swap,Summary of Proposed Investment (Disclosure Policy 2006),7979,https://disclosures.ifc.org/project-detail/SPI/7979/asia-private-power-limited-appl-swap,Risk Management,ASIA POWER (PRIVATE) LIMITED,Sri Lanka,SRI,Infrastructure,C,Regional Industry - INF Asia & Pac,Completed,,12/16/1996,05/30/1997,,2,,,,2,LK,"July 06, 2022 03:15 AM"
11/12/1996,SAMARCO MINERACAO S.A.,Summary of Proposed Investment (Disclosure Policy 2006),5036,https://disclosures.ifc.org/project-detail/SPI/5036/samarco-mineracao-s-a-,Loan,Samarco Mineração S/A.,Brazil,BRA,"Oil, Gas, and Mining",A,Gbl Infrastructure & Natural Resources,Completed,,01/06/1997,05/15/1997,09/19/1997,,,23,,23,BR,"July 06, 2022 03:15 AM"
11/07/1996,Guipeba-Ceval S.A.,Summary of Proposed Investment (Disclosure Policy 2006),7731,https://disclosures.ifc.org/project-detail/SPI/7731/guipeba-ceval-s-a-,Loan,BUNGE ARGENTINA S.A.,Argentina,ARG,Agribusiness and Forestry,B,Regional Industry - MAS LAC,Completed,,12/26/1996,04/11/1997,08/18/1997,,,20,,20,AR,"July 06, 2022 03:15 AM"
11/04/1996,PT Alumindo Light Metal Industry,Summary of Proposed Investment (Disclosure Policy 2006),7789,https://disclosures.ifc.org/project-detail/SPI/7789/pt-alumindo-light-metal-industry,Loan,"ALUMINDO LIGHT METAL INDUSTRY, PT TBK",Indonesia,INS,Manufacturing,B,Regional Industry - MAS Asia & Pac,Completed,,03/14/1997,06/25/1997,10/20/1997,,,15,,15,ID,"July 06, 2022 03:15 AM"
11/01/1996,INCON,Summary of Proposed Investment (Disclosure Policy 2006),7574,https://disclosures.ifc.org/project-detail/SPI/7574/incon,Loan,"INCON JSC, Cupchin JSC, Ungheni JSC, and Floresti JSC",Moldova,MDA,Agribusiness and Forestry,B,Regional Industry - MAS ECA,Completed,,12/12/1996,02/18/1997,04/15/1997,,,7.69,2,9.69,MD,"July 06, 2022 03:15 AM"
11/01/1996,FTML Services Cellulaire Liban,Summary of Proposed Investment (Disclosure Policy 2006),7844,https://disclosures.ifc.org/project-detail/SPI/7844/ftml-services-cellulaire-liban,Loan,FTML S.A.L.,Lebanon,LEB,"Telecommunications, Media, and Technology",B,Gbl Infrastructure & Natural Resources,Completed,,03/28/1997,07/16/1997,02/02/1998,,,30,,30,LB,"July 06, 2022 03:15 AM"
10/29/1996,Dead Sea Marriott Resort,Summary of Proposed Investment (Disclosure Policy 2006),7749,https://disclosures.ifc.org/project-detail/SPI/7749/dead-sea-marriott-resort,Loan,BUSINESS TOURISM COMPANY,Jordan,JOR,"Tourism, Retail, and Property",B,Regional Industry MAS MCT,Completed,,03/28/1997,01/12/1998,04/01/1998,,,4,1,5,JO,"July 06, 2022 03:15 AM"
10/28/1996,GENERAL HIPOTECARIA,Summary of Proposed Investment (Disclosure Policy 2006),4916,https://disclosures.ifc.org/project-detail/SPI/4916/general-hipotecaria,Equity,"General Hipotecaria, S.A. de C.V.",Mexico,MXC,Financial Institutions,C,"Global Industry, Financial Markets",Completed,,06/10/1997,02/17/1998,03/10/1998,,,,2.5,2.5,MX,"July 06, 2022 03:15 AM"
10/17/1996,Sadia II,Summary of Proposed Investment (Disclosure Policy 2006),7568,https://disclosures.ifc.org/project-detail/SPI/7568/sadia-ii,Loan,Sadia Concordia S.A. Industria e Comercio,Brazil,BRA,Agribusiness and Forestry,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,,12/18/1996,12/20/1996,12/30/1996,,,40,,40,BR,"July 06, 2022 03:15 AM"
10/17/1996,AEF Compagnie de Distribution des Produits Alimentaires,Summary of Proposed Investment (Disclosure Policy 2006),7753,https://disclosures.ifc.org/project-detail/SPI/7753/aef-compagnie-de-distribution-des-produits-alimentaires,Loan,Compagnie de Distribution des Produits Alimentaires,Mauritania,MTA,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Completed,,12/20/1996,03/14/1997,05/21/1998,,,0.47,,0.47,MR,"July 06, 2022 03:15 AM"
10/15/1996,"Banco Bilbao Vizcaya-Mexico, S.A.",Summary of Proposed Investment (Disclosure Policy 2006),7427,https://disclosures.ifc.org/project-detail/SPI/7427/banco-bilbao-vizcaya-mexico-s-a-,Loan,"Banco Bilbao Vizcaya-Mexico, S.A.",Mexico,MXC,Financial Institutions,FI,Regional Industry - FIG LAC,Completed,,12/17/1996,12/24/1996,12/27/1996,,,110,,110,MX,"July 06, 2022 03:15 AM"
09/25/1996,Copesul Cracker Expansion,Summary of Proposed Investment (Disclosure Policy 2006),7272,https://disclosures.ifc.org/project-detail/SPI/7272/copesul-cracker-expansion,Loan,COMPANHIA PETROQUIMICA DO SUL SA,Brazil,BRA,Manufacturing,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,,04/14/1997,09/23/1997,03/27/1998,,,40,,40,BR,"July 06, 2022 03:15 AM"
09/25/1996,Microcredit Bank,Summary of Proposed Investment (Disclosure Policy 2006),7785,https://disclosures.ifc.org/project-detail/SPI/7785/microcredit-bank,Equity,ProCredit Bank d.d. Sarajevo,Bosnia and Herzegovina,BIH,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,,01/30/1997,09/30/1997,10/16/1997,,,,0.61,0.61,BA,"July 06, 2022 03:15 AM"
09/21/1996,Eesti Uhispank,Summary of Proposed Investment (Disclosure Policy 2006),7562,https://disclosures.ifc.org/project-detail/SPI/7562/eesti-uhispank,Loan,Aktsiaselts Eesti Uhispank.,Estonia,EST,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,,11/25/1996,01/23/1997,04/24/1997,,,6.56,,6.56,EE,"July 06, 2022 03:15 AM"
09/17/1996,Emerging Markets Local Currency Debt Fund,Summary of Proposed Investment (Disclosure Policy 2006),7328,https://disclosures.ifc.org/project-detail/SPI/7328/emerging-markets-local-currency-debt-fund,Equity,Emerging Markets Local Currency Debt Fund,World Region,WLD,other,C,Disruptive Technologies and Funds,Completed,,12/19/1996,04/03/1997,04/03/1997,,,,10,10,99,"July 06, 2022 03:15 AM"
09/06/1996,"Siderurgica de Guatemala, S.A. (Aceros)",Summary of Proposed Investment (Disclosure Policy 2006),7057,https://disclosures.ifc.org/project-detail/SPI/7057/siderurgica-de-guatemala-s-a--aceros,Loan,Siderurgica de Guatemala SA,Guatemala,GUA,Manufacturing,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,,11/01/1996,12/05/1997,01/13/1998,,,18,,18,GT,"July 06, 2022 03:15 AM"
09/05/1996,"AEF Horticulture Farms & Exports Limited, Tanzania",Summary of Proposed Investment (Disclosure Policy 2006),7707,https://disclosures.ifc.org/project-detail/SPI/7707/aef-horticulture-farms-&-exports-limited-tanzania,Loan,Horticultural Farms & Exports,Tanzania,TAN,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Completed,,10/16/1996,10/16/1996,01/15/1997,,,0.8,,0.8,,"July 06, 2022 03:15 AM"
09/05/1996,AEF Aquva Ginners Tanzania Limited,Summary of Proposed Investment (Disclosure Policy 2006),7708,https://disclosures.ifc.org/project-detail/SPI/7708/aef-aquva-ginners-tanzania-limited,Loan,Aquva Ginners Tanzania Ltd,Tanzania,TAN,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Completed,,12/11/1996,02/04/1997,06/18/1997,,,1.5,,1.5,,"July 06, 2022 03:15 AM"
09/05/1996,"AEF Ceres Estates Limited, Subukia Tea Company Limited",Summary of Proposed Investment (Disclosure Policy 2006),7776,https://disclosures.ifc.org/project-detail/SPI/7776/aef-ceres-estates-limited-subukia-tea-company-limited,Loan,Ceres Estates Limited,Kenya,KEN,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Completed,,11/08/1996,12/13/1996,10/09/1997,,,0.93,,0.93,KE,"July 06, 2022 03:15 AM"
08/30/1996,AEF Conrad Plaza,Summary of Proposed Investment (Disclosure Policy 2006),7260,https://disclosures.ifc.org/project-detail/SPI/7260/aef-conrad-plaza,Loan,Conrad Plaza Limited,Uganda,UAN,"Tourism, Retail, and Property",B,Regional Industry - MAS Africa,Completed,,12/20/1996,05/19/1997,10/22/1997,,,1.5,,1.5,UG,"July 06, 2022 03:15 AM"
08/30/1996,Engro Retrofit & Expansion,Summary of Proposed Investment (Disclosure Policy 2006),7554,https://disclosures.ifc.org/project-detail/SPI/7554/engro-retrofit-&-expansion,Loan,ENGRO CORPORATION LIMITED,Pakistan,PAK,Manufacturing,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,,12/02/1996,01/06/1997,09/10/1997,,,9,,9,PK,"July 06, 2022 03:15 AM"
08/29/1996,Sucorrico S.A.,Summary of Proposed Investment (Disclosure Policy 2006),7727,https://disclosures.ifc.org/project-detail/SPI/7727/sucorrico-s-a-,Loan,Sucorrico S.A.,Brazil,BRA,Agribusiness and Forestry,B,Regional Industry - MAS LAC,Completed,,10/09/1996,10/24/1996,11/26/1996,,,15,,15,BR,"July 06, 2022 03:15 AM"
08/28/1996,Kazkommertsbank,Summary of Proposed Investment (Disclosure Policy 2006),7287,https://disclosures.ifc.org/project-detail/SPI/7287/kazkommertsbank,Loan,Kazkommertsbank,Kazakhstan,KAZ,Financial Institutions,FI,"Global Industry, Financial Markets",Completed,,02/26/1997,06/23/1997,12/03/1997,,,10,0,10,KZ,"July 06, 2022 03:15 AM"
08/19/1996,Horizonte Bosnia and Herzegovina Enterprise Fund,Summary of Proposed Investment (Disclosure Policy 2006),7622,https://disclosures.ifc.org/project-detail/SPI/7622/horizonte-bosnia-and-herzegovina-enterprise-fund,Equity,Horizonte Bosnia and Herzegovina Enterprise Fund,Bosnia and Herzegovina,BIH,other,FI,Disruptive Technologies and Funds,Completed,,09/19/1996,12/12/1997,08/06/1998,,,,2,2,BA,"July 06, 2022 03:15 AM"
08/16/1996,Milkaut,Summary of Proposed Investment (Disclosure Policy 2006),7437,https://disclosures.ifc.org/project-detail/SPI/7437/milkaut,Loan,MILKAUT SA,Argentina,ARG,Agribusiness and Forestry,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,,09/24/1996,12/26/1996,01/28/1997,,,20,,20,AR,"July 06, 2022 03:15 AM"
08/16/1996,Aminex: Tunisia El Biban Oil Project (joint project w/ Aminex: Russia 7624),Summary of Proposed Investment (Disclosure Policy 2006),7610,https://disclosures.ifc.org/project-detail/SPI/7610/aminex:-tunisia-el-biban-oil-project-joint-project-w--aminex:-russia-7624,Equity,Aminex PLC,Tunisia,TUN,"Oil, Gas, and Mining",B,Gbl Infrastructure & Natural Resources,Completed,,10/01/1996,11/05/1996,11/18/1996,,,,3.05,3.05,TN,"July 06, 2022 03:15 AM"
08/16/1996,Aminex Plc: Kirtayel Oil Field Development  (jv w/Tunisia 7610),Summary of Proposed Investment (Disclosure Policy 2006),7624,https://disclosures.ifc.org/project-detail/SPI/7624/aminex-plc:-kirtayel-oil-field-development--jv-w-tunisia-7610,Loan,AMINEX PLC,Russian Federation,RUS,"Oil, Gas, and Mining",B,Gbl Infrastructure &amp; Natural Resources,Completed,,10/01/1996,11/05/1996,11/18/1996,,,17,3.05,20.05,RU,"July 06, 2022 03:15 AM"
08/16/1996,Baku Coca Cola,Summary of Proposed Investment (Disclosure Policy 2006),7701,https://disclosures.ifc.org/project-detail/SPI/7701/baku-coca-cola,Loan,Baku Coca-Cola Bottlers Ltd.,Azerbaijan,AZE,Agribusiness and Forestry,B,"Gbl Ind, Manufact, Agribus &amp; Services",Completed,,12/12/1996,08/06/1997,09/22/1997,,,3.5,2.3,5.8,AZ,"July 06, 2022 03:15 AM"
08/09/1996,"AEF Lowveld Leather (Private) Limited, Zimbabwe",Summary of Proposed Investment (Disclosure Policy 2006),7688,https://disclosures.ifc.org/project-detail/SPI/7688/aef-lowveld-leather-private-limited-zimbabwe,Loan,Lowveld Leather (PVT) Limited,Zimbabwe,ZIM,Manufacturing,B,Regional Industry - MAS Africa,Completed,,10/25/1996,03/10/1997,07/10/1997,,,0.3,0.2,0.5,,"July 06, 2022 03:15 AM"
08/08/1996,Agrimo,Summary of Proposed Investment (Disclosure Policy 2006),7616,https://disclosures.ifc.org/project-detail/SPI/7616/agrimo,Loan,"Companhia Agro Pecuaria De Mocambique, Lda",Mozambique,MOZ,Agribusiness and Forestry,B,Regional Industry - MAS Africa,Completed,,02/06/1997,06/09/1997,09/19/1997,,,2,,2,MZ,"July 06, 2022 03:15 AM"
08/02/1996,RODOVIA PRESIDENTE DUTRA,Summary of Proposed Investment (Disclosure Policy 2006),7545,https://disclosures.ifc.org/project-detail/SPI/7545/rodovia-presidente-dutra,,Concessionária da Rodovia Presidente Dutra S/A.,Brazil,BRA,other,B,Gbl Infrastructure &amp; Natural Resources,Completed,,,,,,,,,,BR,"July 06, 2022 03:15 AM"
07/29/1996,"Grupo Minsa, S.A. de  C.V.",Summary of Proposed Investment (Disclosure Policy 2006),7552,https://disclosures.ifc.org/project-detail/SPI/7552/grupo-minsa-s-a--de--c-v-,Loan,"Grupo Minsa, S.A.B. de C.V.",Mexico,MXC,Agribusiness and Forestry,B,Regional Industry - MAS LAC,Completed,,10/28/1996,11/25/1996,12/06/1996,,,20,10,30,MX,"July 06, 2022 03:15 AM"
